{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(304), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.0, 'nll': 1.043245269310114, 'efficiency': 0.0, 'f1': 0.6151537884471118}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(320), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.0, 'nll': 1.042912661269497, 'efficiency': 0.0, 'f1': 0.6277167562514606}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(336), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.0, 'nll': 1.0376449962521577, 'efficiency': 0.0, 'f1': 0.6012526096033404}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(352), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.0, 'nll': 1.115463893731157, 'efficiency': 0.0, 'f1': 0.5552138663684653}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(368), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.0, 'nll': 1.0672851997266797, 'efficiency': 0.0, 'f1': 0.5730397422126745}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(384), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.0, 'nll': 1.10193762365683, 'efficiency': 0.0, 'f1': 0.5689976070194097}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(400), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.0, 'nll': 1.1224946563346956, 'efficiency': 0.0, 'f1': 0.5326460481099656}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(416), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.0, 'nll': 1.0914948188612026, 'efficiency': 0.0, 'f1': 0.5761802575107297}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(432), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.0, 'nll': 1.10961255810315, 'efficiency': 0.0, 'f1': 0.5700272479564031}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(448), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.0, 'nll': 1.1769008393348441, 'efficiency': 0.0, 'f1': 0.6050211285110614}
