{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 896, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version0', 'L_true': 0.0827298009088514, 'temperature': 5.01876974105835, 'f1': 0.559610705596107, 'model_score': 0.020143159498079655, 'efficiency': 0.24348130029072151, 'nll': 0.97979169921875, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.2138647216796874}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 1024, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version0', 'L_true': 0.0827298009088514, 'temperature': 5.826516628265381, 'f1': 0.5598086124401913, 'model_score': 0.018616777463215883, 'efficiency': 0.22503109228713306, 'nll': 0.9808594116210938, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.3091314208984375}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 32, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version1', 'L_true': 0.20487862988163186, 'temperature': 1.257916808128357, 'f1': 0.7022518765638033, 'model_score': 0.17733236517810402, 'efficiency': 0.865548375057747, 'nll': 0.8225157104492188, 'model_score_raw': 0.17119176584412332, 'efficiency_raw': 0.8355764871281547, 'nll_raw': 0.82865517578125}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 64, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version1', 'L_true': 0.20487862988163186, 'temperature': 1.2404792308807373, 'f1': 0.7125700560448358, 'model_score': 0.19006539886516227, 'efficiency': 0.9276975298740142, 'nll': 0.80993310546875, 'model_score_raw': 0.1861272934483269, 'efficiency_raw': 0.9084758793821567, 'nll_raw': 0.8138712036132812}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 96, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version1', 'L_true': 0.20487862988163186, 'temperature': 1.4796998500823975, 'f1': 0.6970740103270223, 'model_score': 0.18833367307667492, 'efficiency': 0.9192450827374444, 'nll': 0.8105733154296875, 'model_score_raw': 0.18341535560343425, 'efficiency_raw': 0.895239077445032, 'nll_raw': 0.815485009765625}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 128, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version1', 'L_true': 0.20487862988163186, 'temperature': 1.4755502939224243, 'f1': 0.6689132266217355, 'model_score': 0.1402833426900676, 'efficiency': 0.6847143734371709, 'nll': 0.8595245483398437, 'model_score_raw': 0.10440313265383627, 'efficiency_raw': 0.5095852735551528, 'nll_raw': 0.8953967407226563}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 160, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version1', 'L_true': 0.20487862988163186, 'temperature': 1.4841349124908447, 'f1': 0.7027463651050081, 'model_score': 0.17661964163964106, 'efficiency': 0.8620696152726257, 'nll': 0.8233560302734375, 'model_score_raw': 0.16069597779020117, 'efficiency_raw': 0.7843471907394289, 'nll_raw': 0.8392792236328125}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 192, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version1', 'L_true': 0.20487862988163186, 'temperature': 1.5969420671463013, 'f1': 0.6967741935483871, 'model_score': 0.1409515307966306, 'efficiency': 0.687975758516469, 'nll': 0.8590341918945312, 'model_score_raw': 0.09583894020909145, 'efficiency_raw': 0.4677839766131888, 'nll_raw': 0.9041460327148437}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 256, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version1', 'L_true': 0.20487862988163186, 'temperature': 1.7634484767913818, 'f1': 0.6994535519125684, 'model_score': 0.15869320958403887, 'efficiency': 0.7745718022212639, 'nll': 0.8413052368164062, 'model_score_raw': 0.11611034286243183, 'efficiency_raw': 0.5667274470232171, 'nll_raw': 0.8838880249023437}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 320, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version1', 'L_true': 0.20487862988163186, 'temperature': 2.1294589042663574, 'f1': 0.6945288753799393, 'model_score': 0.12573716391832657, 'efficiency': 0.613715368903877, 'nll': 0.8738995483398437, 'model_score_raw': 0.0295901068560398, 'efficiency_raw': 0.14442749286802345, 'nll_raw': 0.9700066528320312}
